year,brand,sneaker,re_sale_price,retail,profit,profit_percent,buyer_state,buyer_region,sales_division,latitude,longitude
2017,Off White,Air Jordan 1 Retro High Off White Chicago,1525,190,1335,702.63,New York,Northeast,Division 2,40.73061,-73.935242
2017,Off White,Air Jordan 1 Retro High Off White Chicago,1661,190,1471,774.21,Texas,South ,Division 7,31.169621,-99.683617
2017,Off White,Air Force 1 Low Off White,615,170,445,261.76,California,West,Division 9,36.778259,-119.417931
2017,Off White,Air Force 1 Low Off White,625,170,455,267.65,Texas,South ,Division 7,31.169621,-99.683617
2017,Off White,Air Max 97 Off White,750,190,560,294.74,Michigan,Midwest,Division 3,44.314844,-85.602364
2017,Off White,Air Max 97 Off White,620,190,430,226.32,Massachusetts,Northeast,Division 1,42.407211,-71.382437
2018,Off White,Air Presto Off White,1150,160,990,618.75,California,West,Division 9,36.778259,-119.417931
2018,Off White,Air VaporMax Off White,805,250,555,222,Pennsylvania,Northeast,Division 2,41.118899,-77.737766
2018,Off White,Blazer Mid Off White,660,130,530,407.69,Illinois,Midwest,Division 3,40.633125,-89.398528
2018,Off White,Blazer Mid Off White,690,130,560,430.77,Colorado,West ,Division 8,39.550053,-105.782066
2018,Off White,React Hyperdunk 2017 Flyknit Off White,450,200,250,125,New Jersey,Northeast,Division 2,40.057347,-74.414532
2018,Off White,React Hyperdunk 2017 Flyknit Off White,360,200,160,80,New York,Northeast,Division 2,40.73061,-73.935242
2018,Off White,React Hyperdunk 2017 Flyknit Off White,399,200,199,99.5,Kansas,Midwest,Division 4,39.011902,-98.484246
2018,Off White,React Hyperdunk 2017 Flyknit Off White,431,200,231,115.5,North Carolina,South ,Division 5,35.120196,-78.223586
2018,Off White,Zoom Fly Off White,385,170,215,126.47,New York,Northeast,Division 2,40.73061,-73.935242
2018,Off White,Air Jordan 1 Retro High Off White Chicago,1725,190,1535,807.89,Georgia,South ,Division 5,33.7489954,-84.3879824
2018,Off White,Air Jordan 1 Retro High Off White Chicago,1555,190,1365,718.42,Pennsylvania,Northeast,Division 2,41.118899,-77.737766
2018,Off White,Air Max 97 Off White,610,190,420,221.05,Arizona,West,Division 8,34.048927,-111.093735
2018,Off White,Air Max 97 Off White,609,190,419,220.53,Utah,West,Division 8,39.41922,-111.950684
2018,Off White,Air Presto Off White,1150,160,990,618.75,California,West,Division 9,36.778259,-119.417931
2018,Off White,Air Presto Off White,950,160,790,493.75,California,West,Division 9,36.778259,-119.417931
2018,Off White,Air VaporMax Off White,870,250,620,248,Virginia,South ,Division 5,38.00234,-78.224935
2018,Off White,Blazer Mid Off White,700,130,570,438.46,Utah,West,Division 8,39.41922,-111.950684
2018,Off White,React Hyperdunk 2017 Flyknit Off White,405,200,205,102.5,Ohio,Midwest,Division 3,40.358615,-82.706838
2018,Off White,React Hyperdunk 2017 Flyknit Off White,400,200,200,100,Connecticut,Northeast,Division 1,41.603222,-73.087746
2018,Off White,React Hyperdunk 2017 Flyknit Off White,435,200,235,117.5,Texas,South ,Division 7,31.169621,-99.683617
2018,Off White,Zoom Fly Off White,500,170,330,194.12,Washington,South ,Division 5,38.9071923,-77.0368707
2018,Off White,Air Jordan 1 Retro High Off White Chicago,1700,190,1510,794.74,Colorado,West ,Division 8,39.550053,-105.782066
2019,Off White,Air Jordan 1 Retro High Off White Chicago,1403,190,1213,638.42,Arizona,West,Division 8,34.048927,-111.093735
2019,Off White,Air Jordan 1 Retro High Off White Chicago,1510,190,1320,694.74,New York,Northeast,Division 2,40.73061,-73.935242
2019,Off White,Air Force 1 Low Off White,686,170,516,303.53,Idaho,West,Division 8,44.065362,-114.738972
2019,Off White,Air Max 90 Off White,681,160,521,325.63,California,West,Division 9,36.778259,-119.417931
2019,Off White,Air Max 97 Off White,620,190,430,226.32,Georgia,South ,Division 5,33.7489954,-84.3879824
2019,Off White,Air Max 97 Off White,620,190,430,226.32,New Hampshire,Northeast,Division 1,43.193852,-71.572395
2019,Off White,Air Presto Off White,961,160,801,500.63,Arizona,West,Division 8,34.048927,-111.093735
2019,Off White,Air Presto Off White,1080,160,920,575,California,West,Division 9,36.778259,-119.417931
2019,Off White,Air VaporMax Off White,770,250,520,208,New York,Northeast,Division 2,40.73061,-73.935242
2019,Off White,Air VaporMax Off White,875,250,625,250,South Carolina,South ,Division 5,33.836082,-81.163727
2019,Off White,Blazer Mid Off White,725,130,595,457.69,Georgia,South ,Division 5,33.7489954,-84.3879824
2019,Off White,Blazer Mid Off White,702,130,572,440,California,West,Division 9,36.778259,-119.417931
2019,Off White,Blazer Mid Off White,700,130,570,438.46,New Hampshire,Northeast,Division 1,43.193852,-71.572395
2019,Off White,React Hyperdunk 2017 Flyknit Off White,451,200,251,125.5,New Jersey,Northeast,Division 2,40.057347,-74.414532
2019,Off White,React Hyperdunk 2017 Flyknit Off White,440,200,240,120,West Virginia,South ,Division 5,38.921511,-80.294105
2019,Off White,Zoom Fly Off White,550,170,380,223.53,Florida,South ,Division 5,25.793449,-80.139198
2019,Off White,Air Jordan 1 Retro High Off White Chicago,1550,190,1360,715.79,Oklahoma,South ,Division 7,35.4675602,-97.5164276
2019,Off White,Air Jordan 1 Retro High Off White Chicago,1575,190,1385,728.95,New York,Northeast,Division 2,40.73061,-73.935242
2019,Off White,Air Jordan 1 Retro High Off White Chicago,1560,190,1370,721.05,California,West,Division 9,36.778259,-119.417931
2019,Off White,Air Force 1 Low Off White,721,170,551,324.12,Florida,South ,Division 5,25.793449,-80.139198
2019,Off White,Air Force 1 Low Off White,710,170,540,317.65,Pennsylvania,Northeast,Division 2,41.118899,-77.737766
2019,Off White,Air Max 90 Off White,530,160,370,231.25,Ohio,Midwest,Division 3,40.358615,-82.706838
2019,Off White,Air Max 90 Off White,630,160,470,293.75,New Jersey,Northeast,Division 2,40.057347,-74.414532
2019,Off White,Air Max 97 Off White,610,190,420,221.05,California,West,Division 9,36.778259,-119.417931
2019,Off White,Air Max 97 Off White,639,190,449,236.32,Pennsylvania,Northeast,Division 2,41.118899,-77.737766
2019,Off White,Air Max 97 Off White,639,190,449,236.32,California,West,Division 9,36.778259,-119.417931
2019,Off White,Air Presto Off White,960,160,800,500,South Carolina,South ,Division 5,33.836082,-81.163727
2019,Off White,Air Presto Off White,1000,160,840,525,New Mexico,West,Division 8,34.307144,-106.018066
2019,Off White,Air Presto Off White,1319,160,1159,724.38,New Jersey,Northeast,Division 2,40.057347,-74.414532
2019,Off White,Air VaporMax Off White,792,250,542,216.8,California,West,Division 9,36.778259,-119.417931
2019,Off White,Air VaporMax Off White,666,250,416,166.4,Delaware,South ,Division 5,38.910831,-75.527672
2019,Off White,Blazer Mid Off White,685,130,555,426.92,Illinois,Midwest,Division 3,40.633125,-89.398528
2019,Off White,Blazer Mid Off White,745,130,615,473.08,California,West,Division 9,36.778259,-119.417931
2019,Off White,React Hyperdunk 2017 Flyknit Off White,408,200,208,104,California,West,Division 9,36.778259,-119.417931
2019,Off White,Zoom Fly Off White,531,170,361,212.35,California,West,Division 9,36.778259,-119.417931
2019,Off White,Zoom Fly Off White,564,170,394,231.76,New York,Northeast,Division 2,40.73061,-73.935242
2019,Off White,Air Jordan 1 Retro High Off White Chicago,1480,190,1290,678.95,Florida,South ,Division 5,25.793449,-80.139198
2020,Off White,Air Jordan 1 Retro High Off White Chicago,1299,190,1109,583.68,Virginia,South ,Division 5,38.00234,-78.224935
2020,Off White,Air Force 1 Low Off White,706,170,536,315.29,Florida,South ,Division 5,25.793449,-80.139198
2020,Off White,Air Max 90 Off White,690,160,530,331.25,Texas,South ,Division 7,31.169621,-99.683617
2020,Off White,Air Max 90 Off White,625,160,465,290.63,Florida,South ,Division 5,25.793449,-80.139198
2020,Off White,Air Max 97 Off White,644,190,454,238.95,Illinois,Midwest,Division 3,40.633125,-89.398528
2020,Off White,Air Max 97 Off White,645,190,455,239.47,California,West,Division 9,36.778259,-119.417931
2020,Off White,Air Max 97 Off White,615,190,425,223.68,Texas,South ,Division 7,31.169621,-99.683617
2020,Off White,Air Presto Off White,1030,160,870,543.75,Rhode Island,Northeast,Division 1,41.742325,-71.742332
2020,Off White,Air Presto Off White,1100,160,940,587.5,California,West,Division 9,36.778259,-119.417931
2020,Off White,Air Presto Off White,1253,160,1093,683.13,New Hampshire,Northeast,Division 1,43.193852,-71.572395
2020,Off White,Air VaporMax Off White,875,250,625,250,District of Columbia,South ,Division 5,38.8445571,-77.0163651
2020,Off White,Air VaporMax Off White,611,250,361,144.4,Pennsylvania,Northeast,Division 2,41.118899,-77.737766
